AB57;1
abete;4
AC204;1
acciaio inox;12
acciaio zincato;2
Acetone;24
acido benzoico;3
acido poliacrilico;1
acqua;34
acqua deionizzata;25
acqua demineralizzata;14
acqua distillata;23
acqua nebulizzata;2
acqua ossigenata 130V;2
acquarelli Winsor & Newton;27
Acrylkleber 498 HV;1
additivi;3
adesivo;5
aeroabrasivi;2
agar;4
agente biocida;2
Akeogard;4
Alcool;22
alcool benzilico;1
alcool denaturato;4
alcool polivinilico;3
alluminio;2
Ammoniaca;3
ammonio carbonato;2
antimuffa;1
antiossidante;1
antiruggine;1
antitarlo;2
antivegetativi;1
Araldite SV427;6
Arbocell CTS;1
ardesia;1
argilla;1
assito;2
balaustra;1
bambù;1
bario;1
barra metallica;2
barre filettate;3
barre in vetroresina;1
benzalconio-cloruro;1
Beva 371;4
bicarbonato di ammonio;5
bicarbonato di sodio;5
biette lignee;1
Bindan;1
biocida;8
Biotin T;3
bisturi;1
bolo;3
bromuro di metile;2
bronzo;2
bullonature;1
Butilacetato;3
Butilammina 115%;1
calcarei;1
calce;19
calce del Brenta;1
calce dolce;9
calce idraulica;27
calce Rabot;1
calcestruzzo;2
cappette estradossali;1
carbonato d'ammonio;17
carbonato di calcio di sintesi;1
carbonato di calcio impalpabile;1
carbonato di calcio ventilato;1
carbopol 924;2
Carbopol Ultrez21;3
cariche selezionate;1
carta;1
carta assorbente;1
carta catramata;3
carta di riso;2
carta giapponese;12
carta siliconata protettiva;1
carta velina;1
cartapesta;1
cavi minerali;1
cementite;1
cemento;8
cera;25
chiodi;3
cicloesano;3
cimose;2
cinghie;3
cocciopesto;5
colla;3
colla a caldo;1
colla a due componenti;1
colla animale;1
colla Bindan-P;1
colla di bue;1
colla di coniglio;15
colla di pasta;1
colla epossidica;1
colla forte di bue;1
colla pasta;1
colla per pavimenti;1
collante;6
colle viniliche;1
colletta;3
colofonia;1
coloranti universali;1
colori a vernice;4
colori ad acquerello;2
compensato fenolico;1
compensato marino;1
composti silossanici;1
compresse assorbenti;1
conchiglia;1
conci;1
conservante;2
consolidante;3
convertitore di ruggine;1
coppi;7
cotone;9
cotone verde;1
cotto;6
Delifrene SF;2
descialbo;2
Desogen;9
detergente non ionico;2
diluente nitro;5
Dimetil Formammide;3
Dimetilsolfossido;4
diserbante;1
EDTA bi- e tetra-sodico;1
elastomero fluoruro;3
Emulsione Cerosa;1
emulsione idroalcolica;1
espansori metallici;1
essenza di petrolio;5
essenza di trementina;2
esteri dell'acido silicico;1
etanolo;2
Etere di Petrolio;1
Ethomeen C/12;4
etilacetato;6
exhado;2
fasce;3
fasce da carico;2
fasce di tela;1
fascette in tessuto-non tessuto;1
fascie di collegamento;1
fd 85;2
Ferox;2
ferramenta;1
ferro;8
fiberglass;1
fibra di carbonio;7
fibra di vetro;4
fibre composite al carbonio;1
fibre tessili;1
fibrorinforzata;1
fiele di bue;1
fili d'oro;1
filo da restauro;2
filo di ottone;1
filo metallico;1
filo neutro;1
fissativo ai silicati;1
Fluoline ST;1
fluosilicato;1
fodera protettiva;1
foglia d'oro;3
frammenti di mattone cotto;1
ganci di fissaggio;2
garze;2
gel;7
gelvatol;2
gesso;9
gesso di Bologna;13
gomma antivibrante;1
gomma arabica;2
gomma fluorurata;4
gomma siliconica plasmabile Silical 110;1
gommalacca;1
gommapiuma;1
gomme fluorurate;1
gomme Wishab;1
graniglia vegetale;2
granuli di argilla espansa;1
grappe metalliche;1
grassello di calce;7
guaina poliestere;4
guscio di nocciolo;1
Idranal III;3
idrofobizzanti;1
idrossido di bario;2
idrossido di calcio;1
idrossilpropilcellulosa;1
impasto;1
impregnante;2
impregnante antimuffa Bayer;1
impregnante antitarlo Bayer;1
incarnati;1
INDUR-CI;1
inerti;6
inibitore;1
intonaco;29
isopar J;1
isottano;2
Klucel;4
lacca rossa;1
lamiera in piombo;1
lapide;4
;
lastre di paramento;1
laterizio;9
legante;5
legno;28
legno di abete;2
legno di castagno;2
legno di noce chiaro di Bahia;1
legno di pero;2
legno di pioppo;1
legno massello;1
legno verde;1
Lepa;2
ligroina;13
lintonaco;1
listoni di rinforzo;1
litotipi;1
Lukas satinata;1
Malta (non specificata);34
Malta premiscelata;20
Malta di calce idraulica / NHL;12
Malta di calce;10
Malta cementizia;4
Malta da iniezione / micronizzata;4
Malta adesiva;4
Malta strutturale / alte prestazioni;2
Malta bastarda;1
Malta di rivestimento;1
mandorlo;1
marmo;9
massetto alleggerito;2
massetto cementizio;1
materiale inerte;2
materiale protettivo;1
materiali a base acida;1
materiali di recupero;1
materiali metallici;1
mattoni;2
membrana traspirante;1
metallo;6
metilcellulosa;6
metiletilchetone;3
microbarre;1
microcemento;1
microemulsione acrilica ad alta penetrazione;1
miscela;1
miscela solvente;2
mucina sintetica;2
multistrato;2
Neo-Desogen;1
nitro;1
nitrocellulosa;1
nocciolo;1
nylon;1
ocra;1
olio;5
oro;14
ossido di alluminio;2
ottone;8
ovatta;2
pannelli Aerolam;1
panno di lana;1
panno morbido;1
Paraloid B72;17
pastiglia;1
pelle di daino;4
Per-Xil 10 CTS;1
Permetar;6
permetrina;5
Petrolio;2
piastre sagomate;1
piatti saldati;2
pietra;20
pigmenti;9
piombo;6
plasmolegno;1
plastica;5
plexiglas;2
Plexisol;4
PLM A;1
polietilene;2
polpa di carta;11
polpa di cellulosa;5
polpa di legno Arbocell;1
polvere Crystal;4
polvere di marmo;21
polvere di mattone;1
polvere di pietra;4
polvere di travertino;3
polveri di marmo;2
polveri vegetali;1
Polyfilla;2
ponteggio;1
ponticelli;1
porporina;1
pozzolana;4
Preventol R80;1
Primal;3
Primal AC33;7
primer;3
prodotti disinfestanti;1
prodotti idrorepellenti a base di silicio;1
prodotto convertitore;1
profili metallici UPN160;1
protettivo;1
protettivo finale;1
protettivo silossanico idrorepellente;1
pulitore chimico;1
puro grassello di calce dolce;1
PVC flessibile;1
rame;5
rattoppi;1
resina;4
resina acrilica;28
resina consolidante;1
resina epossidica;18
resina Epox;1
resina fluorurata;2
resina mastice;1
resina metacrilica;1
resina poliammidica Textil tipo 5060 (Phase);1
resina Retoucher;1
resina siliconica;1
resina sintetica;3
resina termoplastica;2
resina vinilica;2
resine a scambio ionico;1
rete elettrosaldata;4
rete in fibra di vetro (Mapegrid 120 Mapei);1
rete sintetica;1
sabbia;32
saggina;1
Sali inorganici;2
saliva artificiale;1
schiena di protezione;1
scialbi;1
scossalina;2
segatura;1
sellerine ottonate;1
seppiolite;10
seta;2
Sikadur 32;1
Sikadur 330;1
Silcol 30;2
Silcol 30 (biossido di silicio nanometrico);1
Silcol 30 puro;1
silicati;3
silicato di etile;12
silicato Estel 1000;1
Silo 111;1
smalti;2
soluzione 3A;2
soluzione a pH 9;1
soluzione acida a bassa concentrazione;1
soluzione acrilico-siliconica ACS/201/N;1
soluzione basica;2
soluzione di sali inorganici;1
soluzione di tensioattivo anionico (sale di ammonio quaternario al 10%);2
soluzione idroalcolica;1
soluzione salina;3
soluzione satura;1
soluzione tensioattiva;2
solvent gel di DMSO puro;5
solventi;15
spazzolini;1
spilli inox;1
spugne ;9
staffe metalliche;1
stuccature;7
stucco;30
stucco a cera-resina;1
