record_id,field,type,TP,TN,FP,FN,precision,recall,f1,accuracy,jaccard,exact_match,balanced_accuracy,mcc,size_abs_error,true_size,pred_size,gt_empty,pred_empty,excluded_empty_empty,true_value,pred_value
GT_1__row0001,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0001,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Volte,Volte
GT_1__row0001,materials_used,multilabel,3,65,0,1,1.0,0.75,0.8571428571428571,,0.75,0.0,0.875,0.8594395636904107,1,4,3,0,0,0,"Soluzioni idroalcoliche|Resine acriliche (Primal, Plexisol, microemulsioni acriliche)|Acqua (generica)|Malte da iniezione/micronizzate","Soluzioni idroalcoliche|Resine acriliche (Primal, Plexisol, microemulsioni acriliche)|Malte da iniezione/micronizzate"
GT_1__row0001,technique_used,multilabel,2,19,0,1,1.0,0.6666666666666666,0.8,,0.6666666666666666,0.0,0.8333333333333333,0.7958224257542214,1,3,2,0,0,0,Indagini diagnostiche e analisi preliminari|Consolidamento per iniezione / impregnazione|Riadesione / fissaggio pellicola pittorica,Consolidamento per iniezione / impregnazione|Riadesione / fissaggio pellicola pittorica
GT_1__row0001,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0001,working_issue,multilabel,2,13,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,Distacco/disancoraggio|Sollevamenti della pellicola pittorica,Distacco/disancoraggio|Sollevamenti della pellicola pittorica
GT_1__row0002,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0002,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Cappelle,Cappelle
GT_1__row0002,materials_used,multilabel,2,65,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.5,0.0,0.8257575757575757,0.6515151515151515,0,3,3,0,0,0,"Attrezzature/utensili (bisturi, spazzolini, ponteggi)|Calce (grassello, calce dolce, calce storica)|Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)","Attrezzature/utensili (bisturi, spazzolini, ponteggi)|Calce (grassello, calce dolce, calce storica)|Malte da iniezione/micronizzate"
GT_1__row0002,technique_used,multilabel,3,18,0,1,1.0,0.75,0.8571428571428571,,0.75,0.0,0.875,0.8429272304235247,1,4,3,0,0,0,Pulitura meccanica|Consolidamento per iniezione / impregnazione|Consolidamento superficiale|Stuccatura / integrazione con malte,Pulitura meccanica|Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte
GT_1__row0002,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0002,working_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0003,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0003,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Cappelle,Cappelle
GT_1__row0003,materials_used,multilabel,1,68,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,"Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)","Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)"
GT_1__row0003,technique_used,multilabel,2,19,0,1,1.0,0.6666666666666666,0.8,,0.6666666666666666,0.0,0.8333333333333333,0.7958224257542214,1,3,2,0,0,0,Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte|Pulitura meccanica,Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte
GT_1__row0003,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0003,working_issue,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Lacune/perdite di materiale,Lacune/perdite di materiale
GT_1__row0004,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0004,zone,multilabel,1,18,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Cappelle,Cappelle
GT_1__row0004,materials_used,multilabel,3,66,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,3,3,0,0,0,"Resine acriliche (Primal, Plexisol, microemulsioni acriliche)|Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)|Carta e carte tecniche (giapponese, velina, riso, assorbente)","Resine acriliche (Primal, Plexisol, microemulsioni acriliche)|Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)|Carta e carte tecniche (giapponese, velina, riso, assorbente)"
GT_1__row0004,technique_used,multilabel,3,18,0,1,1.0,0.75,0.8571428571428571,,0.75,0.0,0.875,0.8429272304235247,1,4,3,0,0,0,"Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte|Riadesione / fissaggio pellicola pittorica|Rimozione di depositi, scialbature o vernici",Consolidamento per iniezione / impregnazione|Stuccatura / integrazione con malte|Riadesione / fissaggio pellicola pittorica
GT_1__row0004,environmental_issue,multilabel,,,,,,,,,,,,,,0,0,1,1,1,,
GT_1__row0004,working_issue,multilabel,2,13,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,2,2,0,0,0,Lacune/perdite di materiale|Sollevamenti della pellicola pittorica,Lacune/perdite di materiale|Sollevamenti della pellicola pittorica
GT_1__row0005,supporto,multilabel,1,14,0,0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,0,1,1,0,0,0,Murale affrescato,Murale affrescato
GT_1__row0005,zone,multilabel,0,18,0,1,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,1,1,0,0,1,0,Cappelle,
