label,tp,fp,fn,support_gt,support_pred,precision,recall,f1
"Resine acriliche (Primal, Plexisol, microemulsioni acriliche)",61,5,16,77,66,0.9242424242424242,0.7922077922077922,0.8531468531468532
Acqua deionizzata/demineralizzata/distillata,53,1,23,76,54,0.9814814814814815,0.6973684210526315,0.8153846153846153
"Solventi organici apolari (white spirit, ligroina, isoparaffine, petrolio)",45,17,17,62,62,0.7258064516129032,0.7258064516129032,0.7258064516129032
Malte a base calce (premiscelate o tradizionali),22,21,44,66,43,0.5116279069767442,0.3333333333333333,0.4036697247706422
"Colori (acquerelli, tempere, smalti)",30,28,17,47,58,0.5172413793103449,0.6382978723404256,0.5714285714285714
"Solventi organici polari (acetone, etilacetato, MEK, DMF, DMSO)",39,16,2,41,55,0.7090909090909091,0.9512195121951219,0.8125
"Calce (grassello, calce dolce, calce storica)",33,4,24,57,37,0.8918918918918919,0.5789473684210527,0.7021276595744681
Inerti e sabbie,35,6,17,52,41,0.8536585365853658,0.6730769230769231,0.7526881720430108
Acqua (generica),29,7,27,56,36,0.8055555555555556,0.5178571428571429,0.6304347826086957
"Resine epossidiche (Araldite, Sikadur, Epox)",27,9,11,38,36,0.75,0.7105263157894737,0.7297297297297298
Vernici (generiche),24,5,21,45,29,0.8275862068965517,0.5333333333333333,0.6486486486486487
"Materiali lapidei (pietra, marmo, ardesia, litotipi)",20,5,28,48,25,0.8,0.4166666666666667,0.547945205479452
Calce idraulica / NHL,26,0,16,42,26,1.0,0.6190476190476191,0.7647058823529412
Stucchi (a base calce/resina/cellulosici),17,6,28,45,23,0.7391304347826086,0.37777777777777777,0.5
"Legno (massello, assito, multistrato, compensati)",18,5,25,43,23,0.782608695652174,0.4186046511627907,0.5454545454545454
"Cere (emulsioni cerose, cere ossidate)",21,10,9,30,31,0.6774193548387096,0.7,0.6885245901639343
"Cariche minerali (carbonato di calcio, polveri di pietra/marmo/travertino)",16,8,16,32,24,0.6666666666666666,0.5,0.5714285714285715
Biocidi/antimuffa/antivegetativi,17,3,16,33,20,0.85,0.5151515151515151,0.6415094339622641
"Metalli ferrosi (ferro, acciaio, zincato)",13,3,22,35,16,0.8125,0.37142857142857144,0.5098039215686275
Gesso e stucchi gessosi,20,0,8,28,20,1.0,0.7142857142857143,0.8333333333333333
Malte cementizie,6,34,2,8,40,0.15,0.75,0.24999999999999997
"Carta e carte tecniche (giapponese, velina, riso, assorbente)",13,3,18,31,16,0.8125,0.41935483870967744,0.5531914893617021
Pigmenti e terre coloranti,19,6,2,21,25,0.76,0.9047619047619048,0.8260869565217391
"Gel e addensanti (agar, carbopol, cellulose, mucillagini)",15,4,11,26,19,0.7894736842105263,0.5769230769230769,0.6666666666666666
Adesivi/colle (generici),5,29,5,10,34,0.14705882352941177,0.5,0.22727272727272727
"Colle animali (coniglio, bue, colletta)",12,1,17,29,13,0.9230769230769231,0.41379310344827586,0.5714285714285715
Laterizio/cotto/mattoni,12,3,14,26,15,0.8,0.46153846153846156,0.5853658536585367
"Fibre e compositi (fibra di vetro, carbonio, vetroresina)",12,3,13,25,15,0.8,0.48,0.6
Soluzioni idroalcoliche,6,23,3,9,29,0.20689655172413793,0.6666666666666666,0.31578947368421056
"Sali e tamponi (carbonati, bicarbonati, sali inorganici, soluzioni sature)",9,1,17,26,10,0.9,0.34615384615384615,0.5
"Tessuti e TNT (lino, tela, teli TNT, geotessili, garze)",10,4,10,20,14,0.7142857142857143,0.5,0.588235294117647
Vernici finali/retoucher (gloss/matt),11,5,4,15,16,0.6875,0.7333333333333333,0.7096774193548386
Tensioattivi e detergenti non ionici,7,9,7,14,16,0.4375,0.5,0.4666666666666667
"Metalli non ferrosi (rame, ottone, bronzo, alluminio, piombo)",8,2,11,19,10,0.8,0.42105263157894735,0.5517241379310345
Oro/dorature/porporina,12,1,3,15,13,0.9230769230769231,0.8,0.8571428571428571
Soluzioni acquose (generiche),6,14,2,8,20,0.3,0.75,0.4285714285714285
"Consolidanti minerali (silicato di etile, silicati, fluosilicati)",3,0,21,24,3,1.0,0.125,0.2222222222222222
Miscela solvente / diluenti,3,12,7,10,15,0.2,0.3,0.24
Cemento/calcestruzzo/cementite,9,0,6,15,9,1.0,0.6,0.7499999999999999
Malte da iniezione/micronizzate,4,13,2,6,17,0.23529411764705882,0.6666666666666666,0.3478260869565218
Cocciopesto/pozzolana e leganti storici,9,0,4,13,9,1.0,0.6923076923076923,0.8181818181818181
Adesivi epossidici/bi-componenti,6,9,0,6,15,0.4,1.0,0.5714285714285715
