label,tp,fp,fn,support_gt,support_pred,precision,recall,f1
Architettonico,191,0,99,290,191,1.0,0.6586206896551724,0.7941787941787941
Archeologico,133,53,19,152,186,0.7150537634408602,0.875,0.7869822485207101
stratigrafico,133,53,19,152,186,0.7150537634408602,0.875,0.7869822485207101
Murario,28,19,182,210,47,0.5957446808510638,0.13333333333333333,0.2178988326848249
Cartaceo,14,150,1,15,164,0.08536585365853659,0.9333333333333333,0.1564245810055866
Scultoreo,46,15,72,118,61,0.7540983606557377,0.3898305084745763,0.5139664804469274
Murale affrescato,52,38,32,84,90,0.5777777777777777,0.6190476190476191,0.5977011494252873
Decorato,27,1,26,53,28,0.9642857142857143,0.5094339622641509,0.6666666666666666
Documentario,1,0,11,12,1,1.0,0.08333333333333333,0.15384615384615385
Capitello,3,0,5,8,3,1.0,0.375,0.5454545454545454
Pavimentale,0,2,9,9,2,0.0,0.0,0.0
Colonna,1,1,5,6,2,0.5,0.16666666666666666,0.25
Fotografico,1,1,2,3,2,0.5,0.3333333333333333,0.4
A cupola,0,0,3,3,0,0.0,0.0,0.0
Voltato,0,0,2,2,0,0.0,0.0,0.0
