label,tp,fp,fn,support_gt,support_pred,precision,recall,f1
Pulitura meccanica,136,83,44,180,219,0.6210045662100456,0.7555555555555555,0.681704260651629
Stuccatura / integrazione con malte,123,6,68,191,129,0.9534883720930233,0.643979057591623,0.76875
Pulitura chimica,64,65,10,74,129,0.49612403100775193,0.8648648648648649,0.6305418719211823
Integrazione pittorica / reintegrazione cromatica,64,59,14,78,123,0.5203252032520326,0.8205128205128205,0.63681592039801
"Rimozione di depositi, scialbature o vernici",40,45,46,86,85,0.47058823529411764,0.46511627906976744,0.4678362573099415
Pulitura con impacchi o gel,58,19,19,77,77,0.7532467532467533,0.7532467532467533,0.7532467532467532
Pulitura ad umido / lavaggio,47,32,18,65,79,0.5949367088607594,0.7230769230769231,0.6527777777777777
Protezione finale / verniciatura,52,6,27,79,58,0.896551724137931,0.6582278481012658,0.759124087591241
Consolidamento per iniezione / impregnazione,50,17,12,62,67,0.746268656716418,0.8064516129032258,0.7751937984496124
Consolidamento superficiale,38,8,29,67,46,0.8260869565217391,0.5671641791044776,0.672566371681416
"Interventi strutturali locali (cuci-scuci, cerchiatura, ancoraggi)",27,22,37,64,49,0.5510204081632653,0.421875,0.4778761061946903
Ritocco / velatura / patinatura,34,11,26,60,45,0.7555555555555555,0.5666666666666667,0.6476190476190475
Riadesione / fissaggio pellicola pittorica,25,39,3,28,64,0.390625,0.8928571428571429,0.5434782608695653
Aspirazione / spolveratura,33,19,5,38,52,0.6346153846153846,0.868421052631579,0.7333333333333333
Trattamenti biocidi / disinfestazione,33,5,11,44,38,0.868421052631579,0.75,0.8048780487804879
Indagini diagnostiche e analisi preliminari,10,17,10,20,27,0.37037037037037035,0.5,0.425531914893617
Preconsolidamento,11,14,9,20,25,0.44,0.55,0.48888888888888893
Interventi su intonaci (intonacatura / reintonacatura),3,33,1,4,36,0.08333333333333333,0.75,0.15
Sigillature e stilatura giunti,10,11,4,14,21,0.47619047619047616,0.7142857142857143,0.5714285714285714
Impermeabilizzazione / idrorepellente,5,1,2,7,6,0.8333333333333334,0.7142857142857143,0.7692307692307692
Pulitura laser / tecnologie avanzate,5,1,0,5,6,0.8333333333333334,1.0,0.9090909090909091
Deacidificazione,1,0,0,1,1,1.0,1.0,1.0
