label,tp,fp,fn,support_gt,support_pred,precision,recall,f1
Lacune/perdite di materiale,35,21,40,75,56,0.625,0.4666666666666667,0.5343511450381679
Distacco/disancoraggio,31,15,32,63,46,0.6739130434782609,0.49206349206349204,0.5688073394495413
Fessure/fenditure/fratture/rotture,24,6,18,42,30,0.8,0.5714285714285714,0.6666666666666666
"Difficoltà operative e accessibilità (quota, posizionamento, intervento diretto)",6,33,4,10,39,0.15384615384615385,0.6,0.2448979591836735
Adesione/coesione insufficiente,11,7,9,20,18,0.6111111111111112,0.55,0.5789473684210527
Sollevamenti della pellicola pittorica,9,7,0,9,16,0.5625,1.0,0.72
Incompatibilità o non idoneità dei materiali,4,11,1,5,15,0.26666666666666666,0.8,0.4
Pulitura difficile o non controllabile,4,11,1,5,15,0.26666666666666666,0.8,0.4
Rischi in movimentazione/sollevamento,4,11,1,5,15,0.26666666666666666,0.8,0.4
Decoesione/polverizzazione,3,4,8,11,7,0.42857142857142855,0.2727272727272727,0.33333333333333326
Instabilità strutturale/degli assemblaggi,5,7,1,6,12,0.4166666666666667,0.8333333333333334,0.5555555555555556
Deformazioni/dislocazioni/sconnessioni,3,6,1,4,9,0.3333333333333333,0.75,0.46153846153846156
Infestazioni biologiche (tarli),1,2,7,8,3,0.3333333333333333,0.125,0.18181818181818182
"Problemi di superficie (bagnabilità, residui, macchie)",2,1,5,7,3,0.6666666666666666,0.2857142857142857,0.4
Risultati insufficienti/inefficacia del metodo,0,2,0,0,2,0.0,0.0,0.0
