label,tp,fp,fn,support_gt,support_pred,precision,recall,f1
Murature,104,28,114,218,132,0.7878787878787878,0.47706422018348627,0.5942857142857143
Opere mobili,32,101,84,116,133,0.24060150375939848,0.27586206896551724,0.2570281124497992
Elementi lapidei/Sculture lapidee,20,18,148,168,38,0.5263157894736842,0.11904761904761904,0.1941747572815534
Decorazioni dipinte,37,37,67,104,74,0.5,0.3557692307692308,0.41573033707865165
Volte,40,38,4,44,78,0.5128205128205128,0.9090909090909091,0.6557377049180326
Cupola,38,8,11,49,46,0.8260869565217391,0.7755102040816326,0.8
Abside,24,1,35,59,25,0.96,0.4067796610169492,0.5714285714285714
Arredi liturgici,10,22,29,39,32,0.3125,0.2564102564102564,0.28169014084507044
Transetto,20,0,24,44,20,1.0,0.45454545454545453,0.625
Pavimenti/Solai,17,12,16,33,29,0.5862068965517241,0.5151515151515151,0.5483870967741935
Torre campanaria,17,23,3,20,40,0.425,0.85,0.5666666666666667
Portali/Ingressi,14,1,28,42,15,0.9333333333333333,0.3333333333333333,0.4912280701754386
Presbiterio,26,3,2,28,29,0.896551724137931,0.9285714285714286,0.912280701754386
Colonne/Capitelli/Trabeazioni,15,8,10,25,23,0.6521739130434783,0.6,0.6250000000000001
Coperture,10,7,17,27,17,0.5882352941176471,0.37037037037037035,0.45454545454545453
Cappelle,14,3,9,23,17,0.8235294117647058,0.6086956521739131,0.7
Navata,16,0,8,24,16,1.0,0.6666666666666666,0.8
Impianti,0,2,3,3,2,0.0,0.0,0.0
Documentazione/Analisi,0,0,1,1,0,0.0,0.0,0.0
